goos: linux
goarch: amd64
pkg: github.com/cep21/tdigestbench
BenchmarkTdigest_TotalSize/digest=caio-8         	       2	 908099050 ns/op	  128528 B/op	      12 allocs/op
BenchmarkTdigest_TotalSize/digest=segmentio-8    	      40	  28386678 ns/op	14393437 B/op	  549063 allocs/op
BenchmarkTdigest_TotalSize/digest=influxdata-8   	     352	   3368788 ns/op	  448458 B/op	      19 allocs/op
BenchmarkTdigest_Add/source=linear/digest=caio-8 	  917718	      4860 ns/op	      60 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=linear/digest=segmentio-8         	 1735029	      1154 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=linear/digest=influxdata-8        	13266601	        94.4 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=rand/digest=caio-8                	 1000000	      1319 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=rand/digest=segmentio-8           	 5274670	       457 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=rand/digest=influxdata-8          	 7803522	       156 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=caio-8         	  187168	      9559 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=segmentio-8    	 1490084	       998 ns/op	     593 B/op	       8 allocs/op
BenchmarkTdigest_Add/source=alternating/digest=influxdata-8   	28318449	        36.3 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=exponential/digest=caio-8         	 1000000	      1301 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=exponential/digest=segmentio-8    	 5012250	       460 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=exponential/digest=influxdata-8   	 7599052	       159 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=caio-8           	 1000000	      1332 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=segmentio-8      	 4990347	       461 ns/op	       8 B/op	       1 allocs/op
BenchmarkTdigest_Add/source=tailspike/digest=influxdata-8     	 7443300	       165 ns/op	       1 B/op	       0 allocs/op
BenchmarkTdigest_Quantile/digest=caio-8                       	128476878	         9.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Quantile/digest=segmentio-8                  	126538496	         9.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkTdigest_Quantile/digest=influxdata-8                 	100000000	        10.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.000000-8         	1000000000	         0.000047 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.100000-8         	1000000000	         0.000043 ns/op	         0.0991 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.500000-8         	1000000000	         0.000045 ns/op	         0.0999 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.900000-8         	1000000000	         0.000042 ns/op	         0.0999 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.990000-8         	1000000000	         0.000042 ns/op	         0.0999 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=caio/quant=0.999000-8         	1000000000	         0.000042 ns/op	         0.0999 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.000000-8    	1000000000	         0.000042 ns/op	        66.7 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.100000-8    	1000000000	         0.000041 ns/op	         0.496 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.500000-8    	1000000000	         0.000041 ns/op	         0.0999 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.900000-8    	1000000000	         0.000043 ns/op	         0.0555 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.990000-8    	1000000000	         0.000043 ns/op	         0.0505 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=segmentio/quant=0.999000-8    	1000000000	         0.000041 ns/op	         0.0500 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=influxdata/quant=0.000000-8   	1000000000	         0.000041 ns/op	         0 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=influxdata/quant=0.100000-8   	1000000000	         0.000041 ns/op	         0.496 %difference	       0 B/op	       0 allocs/op
BenchmarkCorrectness/size=1000/source=linear/digest=influxdata/quant=0.500000-8   	1000000000	         0.000042 ns/op	         0.0999 %difference	       0 B/op	       0 allocs/op
